category,appointments,no_shows,no_show_rate,predicted_no_show_rate,median_wait_days,avg_age,factor_key,factor,show_rate,risk_lift,difference_pp,expected_no_shows_at_average,excess_no_shows,order_key,display_rank
Same day,38562,1792,0.046470618743841084,0.04638841816629805,0.0,34.45231056480473,wait_bucket,Lead time,0.9535293812561589,-0.769831529345341,-0.1554276630306633,7785.601541788438,-5993.601541788438,0.0,1
1 day,5213,1113,0.21350469978898906,0.21635330332650116,1.0,39.92633800115097,wait_bucket,Lead time,0.7864953002110109,0.057486462551710193,0.01160641801448467,1052.4957428904913,60.50425710950867,1.0,2
2-3 days,9462,2246,0.23737053477066158,0.23934505801536995,2.0,43.96121327414923,wait_bucket,Lead time,0.7626294652293384,0.17569368438595911,0.035472252996157194,1910.3615421503605,335.6384578496395,2.0,3
4-7 days,17510,4413,0.25202741290691033,0.25349229036122867,6.0,39.81245002855511,wait_bucket,Lead time,0.7479725870930897,0.2482890428378881,0.05012913113240594,3535.238913871572,877.7610861284279,3.0,4
8-14 days,12025,3664,0.3046985446985447,0.3079933758029208,11.0,35.47950103950104,wait_bucket,Lead time,0.6953014553014554,0.5091685873724054,0.10280026292404029,2427.826838338415,1236.1731616615848,4.0,5
15-30 days,17371,5661,0.32588797420989,0.3229425341489158,21.0,36.08347245409015,wait_bucket,Lead time,0.67411202579011,0.6141196019383013,0.12398969243538563,3507.1750527049157,2153.8249472950843,5.0,6
31+ days,10378,3425,0.33002505299672386,0.327607867845816,40.0,38.15243784929659,wait_bucket,Lead time,0.6699749470032761,0.6346105083020039,0.12812677122221947,2095.3003682558065,1329.6996317441935,6.0,7
0-12 child,21035,4306,0.20470644164487758,0.20470976690722648,3.0,4.9691466603280245,age_group,Age group,0.7952935583551224,0.013908785382876987,0.0028081598703731947,4246.9303571267,59.06964287329993,0.0,1
13-17 teen,6343,1690,0.26643544064322877,0.26867150979565896,3.0,15.172788901150875,age_group,Age group,0.7335645593567712,0.3196518479577972,0.06453715886872438,1280.6408012956813,409.3591987043187,1.0,2
18-29 young adult,16729,4122,0.2463984697232351,0.24756555512381462,4.0,23.401697650786062,age_group,Age group,0.7536015302767649,0.22040894829621172,0.0445001879487307,3377.556355805684,744.4436441943162,2.0,3
30-44 adult,22021,4805,0.21820080831933156,0.2186086652067592,4.0,36.87770764270469,age_group,Age group,0.7817991916806685,0.08074623717221674,0.016302526544827167,4446.002062956361,358.99793704363856,3.0,4
45-59 midlife,23221,4150,0.17871754015761596,0.17828700518487572,4.0,52.10667068601697,age_group,Age group,0.821282459842384,-0.11481396182845416,-0.023180741616888434,4688.280001085766,-538.2800010857663,4.0,5
60-74 senior,15237,2291,0.15035768195839075,0.14896999778577077,4.0,65.81170834153704,age_group,Age group,0.8496423180416093,-0.2552800319206192,-0.05154059981611364,3076.3241193981235,-785.3241193981235,5.0,6
75+ older adult,5935,950,0.16006739679865206,0.1613757584835211,4.0,81.22594776748105,age_group,Age group,0.8399326032013479,-0.20718791962069438,-0.04183088497585233,1198.2663023316836,-248.26630233168362,6.0,7
Monday,22713,4689,0.2064456478668604,0.20532306114969037,4.0,36.82749966979263,appointment_weekday,Appointment weekday,0.7935543521331396,0.022523054938302423,0.004547366092356009,4585.715673944318,103.28432605568196,0.0,1
Tuesday,25638,5150,0.20087370309696545,0.20032030576981816,4.0,37.26125282783369,appointment_weekday,Appointment weekday,0.7991262969030346,-0.00507472707808021,-0.0010245786775389398,5176.268148134744,-26.26814813474357,1.0,2
Wednesday,25866,5092,0.19686074383360397,0.19592631972008664,2.0,37.050722956777236,appointment_weekday,Appointment weekday,0.803139256166396,-0.024950870788126522,-0.005037537940900422,5222.30095637933,-130.30095637933027,2.0,3
Thursday,17246,3337,0.19349414356952338,0.19498079753128622,2.0,37.23767830221501,appointment_weekday,Appointment weekday,0.8065058564304766,-0.041625605384633224,-0.00840413820498101,3481.9377674831026,-144.93776748310256,3.0,4
