feature,coefficient,odds_ratio,direction,abs_coefficient
wait_bucket_Same day,-1.928981250893169,0.14529614342778152,Lowers predicted risk,1.928981250893169
wait_bucket_31+ days,0.6116922899217813,1.8435485791320443,Raises predicted risk,0.6116922899217813
wait_bucket_15-30 days,0.5450251936662924,1.7246518321318332,Raises predicted risk,0.5450251936662924
age_group_60-74 senior,-0.4780586512200875,0.6199858329900663,Lowers predicted risk,0.4780586512200875
age_group_13-17 teen,0.45779144117173204,1.5805793249119824,Raises predicted risk,0.45779144117173204
wait_bucket_8-14 days,0.42923399124229356,1.536080421715107,Raises predicted risk,0.42923399124229356
neighbourhood_SANTOS DUMONT,0.4204593975319821,1.5226609016276724,Raises predicted risk,0.4204593975319821
neighbourhood_SOLON BORGES,-0.4069594491079252,0.665671183314534,Lowers predicted risk,0.4069594491079252
neighbourhood_DE LOURDES,-0.3592676364687869,0.698187465916081,Lowers predicted risk,0.3592676364687869
age_group_75+ older adult,-0.35528126469981924,0.7009762556028034,Lowers predicted risk,0.35528126469981924
neighbourhood_DO CABRAL,-0.3371484264552932,0.713802884807675,Lowers predicted risk,0.3371484264552932
neighbourhood_ITARARÉ,0.33683481492587947,1.400507701661775,Raises predicted risk,0.33683481492587947
neighbourhood_JUCUTUQUARA,-0.32902579053343084,0.7196244570091275,Lowers predicted risk,0.32902579053343084
neighbourhood_MATA DA PRAIA,-0.28965412212966274,0.7485224201508779,Lowers predicted risk,0.28965412212966274
neighbourhood_JARDIM DA PENHA,-0.2880536921140797,0.7497213370348014,Lowers predicted risk,0.2880536921140797
neighbourhood_GURIGICA,0.28481259374838225,1.3295128457541359,Raises predicted risk,0.28481259374838225
neighbourhood_DO QUADRO,-0.2817899869215058,0.7544321085065758,Lowers predicted risk,0.2817899869215058
neighbourhood_VILA RUBIM,-0.2812502155308729,0.7548394392977865,Lowers predicted risk,0.2812502155308729
age_group_18-29 young adult,0.2779273594721124,1.3203902798784468,Raises predicted risk,0.2779273594721124
alcoholism_label_No alcoholism,-0.2678521037989637,0.7650209164237681,Lowers predicted risk,0.2678521037989637
neighbourhood_JESUS DE NAZARETH,0.25503520225802345,1.290507048835416,Raises predicted risk,0.25503520225802345
neighbourhood_JABOUR,-0.25106868527454707,0.7779689347139462,Lowers predicted risk,0.25106868527454707
neighbourhood_SANTA CECÍLIA,0.24568716049460337,1.2784995458072013,Raises predicted risk,0.24568716049460337
neighbourhood_PARQUE MOSCOSO,0.2310368229015121,1.2599056319760733,Raises predicted risk,0.2310368229015121
age_group_45-59 midlife,-0.231030342140513,0.7937153826462062,Lowers predicted risk,0.231030342140513
neighbourhood_ILHA DO PRÍNCIPE,0.2254834446182666,1.2529282912385444,Raises predicted risk,0.2254834446182666
neighbourhood_ARIOVALDO FAVALESSA,0.22326869482411835,1.2501564391758553,Raises predicted risk,0.22326869482411835
neighbourhood_ILHA DAS CAIEIRAS,0.22178288763214635,1.248300327001313,Raises predicted risk,0.22178288763214635
neighbourhood_SÃO PEDRO,0.22021947912961626,1.2463502484382771,Raises predicted risk,0.22021947912961626
sms_received_label_SMS received,-0.21450932452825092,0.8069372873872872,Lowers predicted risk,0.21450932452825092
neighbourhood_MONTE BELO,-0.20994426943487987,0.810629421547111,Lowers predicted risk,0.20994426943487987
wait_bucket_4-7 days,0.20249997080668666,1.2244600493758684,Raises predicted risk,0.20249997080668666
neighbourhood_ANDORINHAS,0.202420387669534,1.224362606881262,Raises predicted risk,0.202420387669534
scholarship_label_Scholarship: no,-0.20115081167203866,0.8177890901133738,Lowers predicted risk,0.20115081167203866
neighbourhood_SANTA CLARA,0.19328311329072215,1.21322622537082,Raises predicted risk,0.19328311329072215
neighbourhood_ROMÃO,0.1883382010695987,1.2072417367618922,Raises predicted risk,0.1883382010695987
neighbourhood_CARATOÍRA,0.17865043730532498,1.1956027329984769,Raises predicted risk,0.17865043730532498
neighbourhood_SANTA MARTHA,-0.17196831836587967,0.8420058488671638,Lowers predicted risk,0.17196831836587967
neighbourhood_ENSEADA DO SUÁ,0.16862369424524606,1.1836746315301274,Raises predicted risk,0.16862369424524606
diabetes_label_No diabetes,-0.16234955876939,0.8501439773115541,Lowers predicted risk,0.16234955876939
neighbourhood_MORADA DE CAMBURI,-0.1503420747635352,0.8604136002997416,Lowers predicted risk,0.1503420747635352
handicap_label_No disability flag,-0.14323637918772533,0.8665492104858119,Lowers predicted risk,0.14323637918772533
neighbourhood_SÃO JOSÉ,0.13857393671188437,1.1486346046964995,Raises predicted risk,0.13857393671188437
wait_bucket_1 day,-0.13456744911305946,0.8740939200285969,Lowers predicted risk,0.13456744911305946
neighbourhood_BARRO VERMELHO,0.13295607404502202,1.1421998250108576,Raises predicted risk,0.13295607404502202
scheduled_weekday_Saturday,-0.13199939282344889,0.8763415271732379,Lowers predicted risk,0.13199939282344889
neighbourhood_NOVA PALESTINA,0.13126982757676864,1.140275417558521,Raises predicted risk,0.13126982757676864
neighbourhood_BELA VISTA,0.11678258714047396,1.12387505823659,Raises predicted risk,0.11678258714047396
neighbourhood_REPÚBLICA,-0.11661604719380335,0.889926817474287,Lowers predicted risk,0.11661604719380335
gender_F,-0.1142090174740182,0.8920714778675579,Lowers predicted risk,0.1142090174740182
neighbourhood_SEGURANÇA DO LAR,-0.11172662074833781,0.8942887040622123,Lowers predicted risk,0.11172662074833781
neighbourhood_ANTÔNIO HONÓRIO,-0.1110808924880427,0.8948663580349635,Lowers predicted risk,0.1110808924880427
neighbourhood_INHANGUETÁ,-0.10952699322249505,0.8962579711447559,Lowers predicted risk,0.10952699322249505
hypertension_label_No hypertension,-0.10713374358808475,0.8984055089785757,Lowers predicted risk,0.10713374358808475
neighbourhood_CONSOLAÇÃO,-0.1061960205115494,0.8992483596749439,Lowers predicted risk,0.1061960205115494
neighbourhood_JOANA D´ARC,-0.1026156753661588,0.9024737497333376,Lowers predicted risk,0.1026156753661588
neighbourhood_CENTRO,0.10226293217918977,1.1076746767592627,Raises predicted risk,0.10226293217918977
appointment_weekday_Thursday,-0.09650569657970326,0.9080047250637298,Lowers predicted risk,0.09650569657970326
neighbourhood_BOA VISTA,-0.09482891191850804,0.9095285306488968,Lowers predicted risk,0.09482891191850804
neighbourhood_SANTO ANDRÉ,0.09393805592410179,1.098491698756475,Raises predicted risk,0.09393805592410179
neighbourhood_REDENÇÃO,-0.09303850430364544,0.911158416100376,Lowers predicted risk,0.09303850430364544
neighbourhood_TABUAZEIRO,-0.08985482008262408,0.9140638793572183,Lowers predicted risk,0.08985482008262408
neighbourhood_ILHA DE SANTA MARIA,-0.08831798804524946,0.9154697220065334,Lowers predicted risk,0.08831798804524946
neighbourhood_SANTOS REIS,-0.08764187680082619,0.9160888906693722,Lowers predicted risk,0.08764187680082619
neighbourhood_BENTO FERREIRA,0.08756284798351882,1.0915108615439713,Raises predicted risk,0.08756284798351882
wait_bucket_2-3 days,0.08696303439756889,1.0908563548106438,Raises predicted risk,0.08696303439756889
neighbourhood_PONTAL DE CAMBURI,-0.08691617308932034,0.9167539410629825,Lowers predicted risk,0.08691617308932034
neighbourhood_SANTA HELENA,-0.08615827847941303,0.9174490072937296,Lowers predicted risk,0.08615827847941303
neighbourhood_NAZARETH,-0.0844760881996309,0.9189936299063242,Lowers predicted risk,0.0844760881996309
neighbourhood_PRAIA DO CANTO,0.08317732911914394,1.0867345011345593,Raises predicted risk,0.08317732911914394
age_group_0-12 child,0.08103954377132473,1.0844137775293572,Raises predicted risk,0.08103954377132473
hypertension_label_Hypertension,-0.08100047638349153,0.9221932521268621,Lowers predicted risk,0.08100047638349153
alcoholism_label_Alcoholism,0.0797178838274548,1.0829814979787615,Raises predicted risk,0.0797178838274548
neighbourhood_UNIVERSITÁRIO,0.0759880186756988,1.0789496468342175,Raises predicted risk,0.0759880186756988
neighbourhood_DO MOSCOSO,-0.0754757892767476,0.9273021809187013,Lowers predicted risk,0.0754757892767476
gender_M,-0.07392520249754973,0.9287411587624517,Lowers predicted risk,0.07392520249754973
appointment_weekday_Wednesday,-0.07249855324619449,0.9300670922374101,Lowers predicted risk,0.07249855324619449
neighbourhood_HORTO,0.07169825188660534,1.0743311177609907,Raises predicted risk,0.07169825188660534
neighbourhood_SANTA LÚCIA,0.0637010795931843,1.0657737696127143,Raises predicted risk,0.0637010795931843
neighbourhood_ESTRELINHA,0.06277613809335247,1.0647884469769122,Raises predicted risk,0.06277613809335247
neighbourhood_PRAIA DO SUÁ,0.061943442299430156,1.0639021711659782,Raises predicted risk,0.061943442299430156
neighbourhood_FONTE GRANDE,-0.061746724372039125,0.9401209663680551,Lowers predicted risk,0.061746724372039125
neighbourhood_SANTA LUÍZA,-0.061510808325965435,0.9403427821531943,Lowers predicted risk,0.061510808325965435
neighbourhood_MARUÍPE,0.06106999339650663,1.0629733126960141,Raises predicted risk,0.06106999339650663
age_group_30-44 adult,0.05947769367352568,1.0612820874107791,Raises predicted risk,0.05947769367352568
scheduled_hour,0.05895467962635209,1.0607271670992582,Raises predicted risk,0.05895467962635209
neighbourhood_FORTE SÃO JOÃO,-0.05396335840969323,0.9474668225569101,Lowers predicted risk,0.05396335840969323
neighbourhood_DA PENHA,0.050607648901095426,1.0519100942259991,Raises predicted risk,0.050607648901095426
neighbourhood_COMDUSA,-0.05049851280345188,0.9507553426313392,Lowers predicted risk,0.05049851280345188
neighbourhood_SANTO ANTÔNIO,-0.049312391292891965,0.9518837230603717,Lowers predicted risk,0.049312391292891965
neighbourhood_CRUZAMENTO,-0.048340565111764204,0.9528092382309264,Lowers predicted risk,0.048340565111764204
scheduled_weekday_Monday,-0.04766593012696415,0.9534522535528056,Lowers predicted risk,0.04766593012696415
handicap_label_Disability flag,-0.04489784078378425,0.9560951507753546,Lowers predicted risk,0.04489784078378425
neighbourhood_ILHA DO BOI,-0.040870630115037644,0.9599533109643925,Lowers predicted risk,0.040870630115037644
neighbourhood_MÁRIO CYPRESTE,-0.038673963406281854,0.9620643261941216,Lowers predicted risk,0.038673963406281854
neighbourhood_FRADINHOS,-0.03678849470580565,0.9638799795098683,Lowers predicted risk,0.03678849470580565
neighbourhood_MARIA ORTIZ,0.033516910892989304,1.0340849308780244,Raises predicted risk,0.033516910892989304
