risk_decile,appointments,no_show_rate,predicted_no_show_rate
D1,11053,0.028408576856961913,0.03010020472829165
D2,11052,0.037730727470141154,0.04263265781528738
D3,11052,0.05419833514296055,0.053956238062251465
D4,11052,0.1243213897937025,0.11329032604499574
D5,11052,0.20204487875497648,0.19759234104565632
D6,11052,0.23099891422366992,0.23663095726692493
D7,11052,0.2679153094462541,0.2711877523980397
D8,11052,0.30754614549402826,0.3067137463965719
D9,11052,0.3484437205935577,0.3479628022173286
D10,11052,0.417390517553384,0.42068508692426065
